x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
78611.97927385074 74213.04930983049 -16396.211324240707 4.683193403793801 2.249232535373924 -0.7952282969125555 1.4662553079299985e+23 0.9978811044184627 0.1295532339358305 
16941979.557 -32422661.085 19734809.901 383.82911156 -869.92351367 487.05690989 3.075623e+18 2.0931593968e-05 1.0 
4915605.2633 -46025423.759 -18232390.469 59.633901494 -1322.1144781 -471.70891973 3.049956e+18 2.0756913514e-05 1.0 
13365714.941 -31982067.536 -449297.5975 217.31954537 -748.88838887 -14.740571494 3.04803e+18 2.0743805845e-05 1.0 
20253956.362 -31511296.526 -20925656.559 485.14651015 -859.90111874 -518.25984689 3.046616e+18 2.0734182665e-05 1.0 
6907421.4286 -22286656.59 25768534.702 103.90003711 -554.31219399 542.39104281 3.046111e+18 2.0730745815e-05 1.0 
4323585.5783 -34807555.297 2148451.4499 -9.5099148594 -813.15338345 69.175845849 3.045153e+18 2.0724226008e-05 1.0 
9142815.9825 -41926682.228 -30187187.121 201.90892246 -1229.2099332 -831.11529649 3.045153e+18 2.0724226008e-05 1.0 
2198104.0594 -27349190.649 27415459.983 -13.538677335 -715.80314162 630.87505012 3.044198e+18 2.0717726618e-05 1.0 
4734107.2969 -29658623.065 19234686.209 33.469872466 -719.67243423 404.12517241 3.040391e+18 2.0691817533e-05 1.0 
14149861.138 -25808915.755 20966254.647 274.46874493 -643.85269753 454.27293058 3.040391e+18 2.0691817533e-05 1.0 
6838566.2902 -41815783.443 -4925479.4372 92.413598326 -1118.7668073 -92.38147443 3.040391e+18 2.0691817533e-05 1.0 
3823462.6885 -40321722.296 -16573303.28 15.627320892 -1098.2882078 -405.67530892 3.040391e+18 2.0691817533e-05 1.0 
2806002.8958 -17021161.876 32500367.066 18.614161495 -449.71128287 733.59189281 3.039089e+18 2.0682956585e-05 1.0 
4628128.2192 -30955743.57 41889787.287 89.941985166 -917.68388477 1150.1711055 3.037439e+18 2.0671727273e-05 1.0 
-910930.21881 -34529120.363 16190952.69 -95.142300923 -879.90666985 326.53330158 3.03661e+18 2.0666085395e-05 1.0 
11566543.427 -31663448.227 33247515.69 264.12819386 -898.3145102 888.33808471 3.035669e+18 2.0659681284e-05 1.0 
17493257.305 -42206366.071 426573.12003 399.07296859 -1163.3483971 6.5859873184 3.035669e+18 2.0659681284e-05 1.0 
4603026.5082 -32963146.793 -21455714.504 51.919473241 -867.36256156 -480.42945707 3.035669e+18 2.0659681284e-05 1.0 
-7131355.7455 -5768422.6087 -34371922.646 -195.18072353 -191.2306985 -758.03339842 3.034163e+18 2.0649431985e-05 1.0 
16065644.069 -39966219.606 8724334.1546 351.93065664 -1084.8427491 223.67967523 3.03379e+18 2.064689348e-05 1.0 
15120041.241 -28833273.513 -21497549.375 337.36159161 -770.03798353 -477.11356743 3.03379e+18 2.064689348e-05 1.0 
12289467.021 -31327489.725 -34227298.599 285.60335355 -894.33499329 -910.71280632 3.032537e+18 2.0638366008e-05 1.0 
1018746.7139 -32230865.805 -13923508.016 -79.585635922 -758.05884765 -290.13417664 3.031918e+18 2.0634153315e-05 1.0 
