x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
38733418.78741477 385574288.21380675 -159126.65261750648 1063.1436068439018 9453.007649819117 -11.287620991857603 7.935532336100002e+24 0.664695519816391 0.19461412350155366 
-77941118.43352325 -773869941.9908878 -181664.02418524414 -2143.89699455416 -18970.315918858152 -7.198121819863858 3.9262528667e+24 0.32887052558369795 0.18610124826116106 
-123492432.57 -542632816.79 -138162826.96 -3042.8474437 -13546.639156 -3156.5051823 2.791149e+20 2.337920327e-05 1.0 
-86107633.322 -543875626.34 -58609272.609 -2158.2104388 -13722.220732 -1291.1131812 2.754603e+20 2.3073086914e-05 1.0 
-99230563.808 -634040724.74 -2489813.6953 -2313.0471067 -16336.12608 -3.453872039 2.754603e+20 2.3073086914e-05 1.0 
-77381078.993 -528409560.44 4472817.0036 -1957.7336066 -13344.61475 36.877762591 2.68231e+20 2.2467546779e-05 1.0 
-42534424.277 -621855919.49 25634620.812 -1216.360303 -15987.599614 530.97208334 2.68231e+20 2.2467546779e-05 1.0 
-197352903.22 -388079290.46 88415857.744 -4896.8551269 -9611.0173406 2128.4614534 2.655447e+20 2.2242537101e-05 1.0 
-739982.64987 232000061.02 -13067299.654 17.839694319 6916.9465237 -217.03643987 2.631647e+20 2.2043183703e-05 1.0 
-87478611.97 -663588451.33 72847737.998 -2106.4605287 -17007.187218 1275.5554344 2.628706e+20 2.2018549319e-05 1.0 
75969257.78 97188464.438 -86186919.783 1716.4020045 2880.2515866 -1970.2466242 2.604557e+20 2.1816272629e-05 1.0 
-121830350.85 -548342540.21 68466353.719 -2943.8272884 -13802.473425 1534.4460001 2.531558e+20 2.1204818902e-05 1.0 
51872282.581 218493921.83 3773228.5485 985.65027094 6459.8968848 -48.168741214 2.523152e+20 2.1134408622e-05 1.0 
-68643147.048 -434197030.64 -75761285.034 -1765.3414001 -10827.584508 -1765.3030885 2.514025e+20 2.1057959106e-05 1.0 
-103728764.4 -519562962.44 -9447126.8421 -2593.6276846 -13099.916631 -253.02797985 2.496526e+20 2.0911384102e-05 1.0 
-92838487.495 -418400742.71 97783744.329 -2356.6985813 -10406.251115 2290.4668364 2.470335e+20 2.0692003226e-05 1.0 
