x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
825127.2596191309 -49874844.631551206 -11227.31011419863 9.035771390829451 -1206.642865310336 -0.3225664436548396 9.268131703800001e+20 0.49256046946920595 0.18834694936844934 
-844178.8184963493 49927539.71125077 5328.386393638252 -9.662978372774614 1207.9106157322 0.20039777280719337 9.272116267899996e+20 0.49277223153762795 0.18869574607760362 
6249583.8256059615 -35912437.09108749 5922754.417759865 147.45961940248958 -892.6311433772398 127.77183643751286 1.7707337e+17 9.4106714325e-05 1.0 
5917449.1179 -37676790.433 6113882.6876 139.38957162 -935.66748359 127.32238161 1.3277553e+17 7.0564359119e-05 1.0 
6516247.6412 -37434005.992 5874111.5463 151.98131867 -930.45415946 126.70436184 8.853668e+16 4.7053354505e-05 1.0 
-5562397.850506689 42896662.01415807 -4084277.4806684065 -119.57185019393326 1076.7844895179628 -65.82564785600024 1.3277239e+17 7.0562690347e-05 1.0 
7732818.933807509 -44781542.58605516 419900.3646070903 149.82114792089084 -1133.1613127369128 8.644601779590822 2.2109635e+17 0.00011750299352 1.0 
-10048653.892 36175341.639 -13503698.632 -237.86530994 888.49706885 -308.0001126 8.841736e+16 4.6989941169e-05 1.0 
4107024.0533 -31378178.718 8183889.0036 99.286479727 -775.2480496 186.6150591 4.429898e+16 2.3542961066e-05 1.0 
-5593069.37 34476379.715 2371336.7663 -131.63085872 860.39048054 50.653093449 4.429632e+16 2.3541547393e-05 1.0 
6106292.1095628375 -37380598.53942351 4201272.562138762 141.73351611255623 -933.5925046512884 88.65578236415045 8.855553e+16 4.7063372452e-05 1.0 
6059351.2483 -38624326.942 5551026.8472 141.33769756 -959.65311843 113.4342286 4.429632e+16 2.3541547393e-05 1.0 
6429282.3455 -39673037.662 -1951468.8189 144.92945111 -997.87538228 -33.741956141 4.428935e+16 2.3537843144e-05 1.0 
-4163709.5558 30747297.935 4860111.1134 -99.04263274 763.43195256 109.82298707 4.42885e+16 2.3537391407e-05 1.0 
-5591250.1028 42279496.502 977708.18246 -118.5213915 1073.8934149 10.982461306 4.42885e+16 2.3537391407e-05 1.0 
3896816.6349 -34375134.203 7579277.0308 94.124663612 -850.26519137 167.42607583 4.42885e+16 2.3537391407e-05 1.0 
-5134255.3334 36102688.27 4574526.9234 -120.15743234 900.24193013 96.550345609 4.428679e+16 2.3536482617e-05 1.0 
-4811666.3015 32034786.365 5635872.8212 -113.88041352 795.62871595 126.44207992 4.428679e+16 2.3536482617e-05 1.0 
6302439.1885 -39083653.763 5198160.0912 144.32526016 -973.30937927 105.07060092 4.428679e+16 2.3536482617e-05 1.0 
-4390310.2341 34262497.277 4452294.9225 -104.00059749 853.02041239 96.452464788 4.42834e+16 2.3534680981e-05 1.0 
5768186.9872 -29050816.322 5458784.3169 137.42787902 -719.00818706 124.36539689 4.42834e+16 2.3534680981e-05 1.0 
-5143271.8691 28635359.867 -3649144.188 -123.56069 709.28838367 -82.250733622 4.428172e+16 2.3533788135e-05 1.0 
5859196.5765 -44092821.279 -1000438.6336 115.08565447 -1123.0877196 -4.9009063106 4.428172e+16 2.3533788135e-05 1.0 
-4645810.8218 24154112.7 3934459.2071 -111.44553518 597.10660819 91.57847127 4.428089e+16 2.3533347026e-05 1.0 
7013170.663 -40342558.102 -1191644.7051 155.25233096 -1016.2668562 -19.974566201 4.428005e+16 2.3532900603e-05 1.0 
-5182457.5687 41369762.228 1444326.1571 -117.15178975 1046.2505225 19.807577264 4.42784e+16 2.3532023701e-05 1.0 
6808295.1921 -39579018.467 -346439.28187 152.59016642 -997.18406996 -5.9142288351 4.42784e+16 2.3532023701e-05 1.0 
6336763.1168 -41695219.642 -1535566.7047 137.14928637 -1053.8887502 -24.292807365 4.427757e+16 2.3531582592e-05 1.0 
-9595188.1256 10168094.497 3039269.7771 -231.80501272 251.06091791 72.725473586 4.427675e+16 2.3531146798e-05 1.0 
-5551182.4867 38559642.296 1803797.3401 -126.80615279 968.81498109 32.276466488 4.427593e+16 2.3530711004e-05 1.0 
10514695.725 -23801697.443 6979586.6 251.4398778 -588.9286495 164.72831409 4.427593e+16 2.3530711004e-05 1.0 
-6466444.1313 22937058.593 -3249339.8877 -155.07752149 567.2695057 -73.983707686 4.427511e+16 2.353027521e-05 1.0 
8568849.2882 -25799256.203 7299105.7211 205.13723072 -637.21270104 170.10643926 4.427348e+16 2.3529408937e-05 1.0 
6982939.4609 -39260790.591 -1911891.0491 157.33831879 -987.66386791 -39.635093266 4.427348e+16 2.3529408937e-05 1.0 
8206142.5438 -29045091.226 6831431.6316 195.37692607 -718.6118482 155.89975865 4.427186e+16 2.3528547978e-05 1.0 
-5363188.4074 734815.95149 -11170745.721 -128.69123238 19.519880468 -266.92472744 4.427025e+16 2.3527692334e-05 1.0 
-6528036.7235 40245230.414 -1017473.6098 -144.93296106 1014.8652019 -15.829434273 4.427025e+16 2.3527692334e-05 1.0 
5813647.8032 -38166741.862 -1361196.5261 134.99977294 -958.22039945 -26.641907801 4.427025e+16 2.3527692334e-05 1.0 
-3806916.5743 24922711.025 8180130.1103 -93.357475627 610.64990147 189.40310181 4.426944e+16 2.3527261854e-05 1.0 
-7281670.1166 31766500.693 -3351129.4887 -172.66886879 789.28225855 -73.663146862 4.426944e+16 2.3527261854e-05 1.0 
7378057.7415 -38823412.395 -1720235.4104 166.37537996 -975.55672595 -33.701192227 4.426944e+16 2.3527261854e-05 1.0 
-4894486.0381 -37212987.404 5412002.3982 -103.91120782 -918.77209303 126.12692098 4.426944e+16 2.3527261854e-05 1.0 
-9577992.1493 6687322.943 13594146.175 -230.72699014 166.01899587 325.53518308 4.426864e+16 2.3526836689e-05 1.0 
-6237461.1469 43029255.047 -29170.513187 -127.43504965 1094.8586468 1.3077404409 4.426864e+16 2.3526836689e-05 1.0 
11555038.585 -31816455.787 -2298694.7545 273.28830033 -790.54993491 -53.609133043 4.426864e+16 2.3526836689e-05 1.0 
7105033.2705 -37236882.404 -2552509.1409 163.65635557 -931.06141445 -48.540097868 4.426864e+16 2.3526836689e-05 1.0 
-5932280.431 26636415.547 -3654079.595 -142.05325435 659.42082798 -82.216327967 4.426705e+16 2.3525991674e-05 1.0 
-7215244.918 32527316.214 -3705535.5598 -170.75020779 807.77409811 -81.306025815 4.426705e+16 2.3525991674e-05 1.0 
3099549.0922 -31753426.296 -5326298.4247 77.010259011 -785.96497624 -119.8040466 4.426705e+16 2.3525991674e-05 1.0 
-24824958.971 -55919032.914 -15425587.95 -595.65684702 -1348.1836735 -368.83156517 4.426705e+16 2.3525991674e-05 1.0 
10207152.89 -4046136.9009 6831598.4048 247.80315679 -98.655943433 164.28685948 4.426232e+16 2.3523477887e-05 1.0 
2549635.8914 -12008816.089 -4594364.0392 61.856511791 -296.23598221 -108.26429493 4.426232e+16 2.3523477887e-05 1.0 
10477869.862 -10893521.774 -7744651.7952 251.43794711 -271.08714293 -184.60521008 4.426232e+16 2.3523477887e-05 1.0 
7500084.2945 -30642187.833 -6002212.0848 177.84873826 -759.67557162 -135.45961753 4.426232e+16 2.3523477887e-05 1.0 
