x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
61509516.31832662 223292368.48047405 112285.14220038326 1669.61390181221 5586.989408517142 3.681746340427254 7.970131533e+24 0.6663735535184251 0.10007364888539876 
-123450250.49917355 -450079449.5753921 46819.49966492028 -3353.0978697592745 -11271.1557475785 3.57210156830497 3.9422314256000003e+24 0.32960544666199304 0.18986463961614253 
-76673219.458 -293199141.41 -11019711.648 -2120.4105238 -7932.5907743 -323.29653565 2.571978e+20 2.1504012981e-05 1.0 
-30918140.958 49558297.445 -19587149.612 -622.77392513 2071.406389 -447.09495168 2.571978e+20 2.1504012981e-05 1.0 
-97186866.868 -332419713.61 -13879194.34 -2593.6472289 -9226.7350921 -191.85420966 2.568226e+20 2.1472642939e-05 1.0 
-86176856.823 -152394148.61 23688262.413 -2214.8252399 -3816.8142323 438.14534688 2.548183e+20 2.1305065716e-05 1.0 
-77842517.498 -172745424.08 18246457.821 -2037.0968114 -4392.7024629 422.70232452 2.548183e+20 2.1305065716e-05 1.0 
-124422036.26 -199948343.2 38952126.523 -3156.5219043 -5170.4782415 774.68948612 2.524521e+20 2.1107230448e-05 1.0 
-133371766.13 -219992934.7 -65514726.656 -3347.6573099 -5698.518474 -1371.8492657 2.524521e+20 2.1107230448e-05 1.0 
-60537288.931 -117954064.65 -9099368.527 -1601.1375283 -2831.0641466 -158.59099749 2.508816e+20 2.0975922745e-05 1.0 
-126786356.99 -140283904.47 -60660267.081 -3195.6018893 -3490.2397215 -1318.6598742 2.508816e+20 2.0975922745e-05 1.0 
-86152005.503 -183611503.42 23117835.463 -2201.1286293 -4699.0126773 468.172114 2.462016e+20 2.0584633314e-05 1.0 
-85487760.227 -217728758.85 5485654.5433 -2269.5248673 -5687.848003 141.39641257 2.45426e+20 2.0519786288e-05 1.0 
-58178058.663 -6794544.7107 18853431.983 -1366.2770739 337.69369441 332.78505854 2.431059e+20 2.0325805389e-05 1.0 
-90240036.277 -199506514.77 -21946827.016 -2254.9669095 -5136.7410622 -633.06498516 2.431059e+20 2.0325805389e-05 1.0 
11102914.838 61272607.527 16855888.736 368.88673631 2553.3900663 233.50289007 2.424161e+20 2.0268132002e-05 1.0 
-53607694.556 116877086.96 -2881512.4645 -714.37499148 3949.7557535 -79.759589216 2.424161e+20 2.0268132002e-05 1.0 
-56193455.113 38988872.738 5159006.6894 -1223.5135321 1675.7429968 151.05679259 2.369654e+20 1.9812405229e-05 1.0 
-147736316.58 -327442911.9 -80499967.318 -3625.1963751 -8700.2297835 -1490.0700791 2.362021e+20 1.9748586592e-05 1.0 
-8806551.2006 56323878.405 -38730035.84 -99.146292969 2290.7077711 -636.73810208 2.361128e+20 1.9741120321e-05 1.0 
-66486324.858 20703845.447 44018680.064 -1490.0393014 1090.4606015 883.31012684 2.352115e+20 1.9665763662e-05 1.0 
-62584411.211 115125379.89 -11160346.399 -959.82433254 3836.4132498 -172.36196163 2.343098e+20 1.959037356e-05 1.0 
-70684390.971 -163938012.16 36764329.602 -1863.2851234 -4134.806092 809.78511318 2.339176e+20 1.9557582168e-05 1.0 
-47343043.729 -67074311.723 19027920.22 -1220.6865217 -1376.6889658 421.33091682 2.339176e+20 1.9557582168e-05 1.0 
-51332203.52 -18752938.665 -11437752.643 -1203.5084066 6.2894167264 -216.75480521 2.331577e+20 1.94940478e-05 1.0 
-103405179.1 -188255841.98 -16920731.261 -2654.5485209 -4850.9487579 -345.87900558 2.323986e+20 1.943058032e-05 1.0 
-20622183.397 13974747.162 40218642.762 -448.83219724 985.57862758 750.94552706 2.316027e+20 1.9364036034e-05 1.0 
-85067625.122 10116241.949 5382978.8451 -1932.7009405 770.39954867 74.651532399 2.316027e+20 1.9364036034e-05 1.0 
-60736628.573 -200056877.01 -20323975.032 -1653.9969713 -5156.9705535 -369.2804789 2.308826e+20 1.93038293e-05 1.0 
-70230596.324 -190782884.72 -52030452.688 -1846.7094211 -4872.9763035 -1070.7649342 2.293695e+20 1.9177320745e-05 1.0 
-33043226.449 -115556803.11 -63682798.046 -900.71169622 -2746.5301878 -1384.7717314 2.27859e+20 1.9051029572e-05 1.0 
-135616620.01 -282372044.52 -36115548.92 -3399.7868218 -7569.5728962 -657.92762579 2.27859e+20 1.9051029572e-05 1.0 
-53385957.286 -146492727.6 36475051.638 -1450.7367246 -3632.0119934 787.91504801 2.255978e+20 1.8861973235e-05 1.0 
-135645555.66 -34807348.667 34729608.348 -3290.0969118 -580.95488785 749.65353139 2.243625e+20 1.8758691219e-05 1.0 
-50890069.201 -64360665.731 -28267615.73 -1254.7812358 -1305.5419686 -534.36240298 2.243625e+20 1.8758691219e-05 1.0 
-38393885.395 -22243808.427 52128553.954 -918.10871549 -106.70140208 1039.5298865 2.225461e+20 1.8606824099e-05 1.0 
-57412248.409 -244516336.55 25990392.138 -1599.3141985 -6416.7570022 406.11009101 2.218396e+20 1.8547754444e-05 1.0 
-118769388.41 -271764901.28 10929649.277 -3028.5684022 -7297.5946297 359.44636674 2.218396e+20 1.8547754444e-05 1.0 
