x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
1149104.3987835208 3233002.4673066083 -11522.571373676832 32.61100598382295 70.64503609388375 0.35674563150571864 1.3734452708899997e+23 0.9369420982502644 0.09569155886498087 
-20401836.947930563 -44326547.015839435 -127928.918885725 -579.8498544997038 -935.5481563905863 -4.190555506720783 8.297299672999998e+21 0.056602833254885965 0.09112633336146647 
-17385118.658 -27514559.518 -8872462.0313 -513.70252653 -458.80715353 -269.17127627 1.6740708e+19 0.00011420239606 0.0 
-16462112.684518544 -28399107.19425423 207558.9379115249 -391.3432478771803 -520.277925357911 -6.694453332481474 1.7133675e+19 0.000116883153229 0.0 
-17630502.711261738 -31587092.617914837 802561.3051584275 -434.6450262866787 -654.6567961197757 18.844550319903362 1.7067082e+19 0.000116428866578 0.0 
-17814862.104 -29915138.878 1263802.2809 -427.50309775 -593.46675368 32.784466044 8.436597e+18 5.7553097037e-05 0.0 
-18849763.215 -29841812.905 8831082.5018 -509.58280617 -571.90245754 208.66940224 8.406399e+18 5.7347091177e-05 0.0 
-11341906.603 -60573988.468 3245884.7317 -447.68334752 -1350.7201057 149.58685355 8.373165e+18 5.7120374216e-05 0.0 
-18756471.662 -31138222.521 10909618.322 -548.38746001 -605.9889637 292.69949033 8.367596e+18 5.7082383401e-05 0.0 
547600.0599 -57290556.22 -13874277.343 -109.11592748 -1337.6841613 -247.05760013 8.333995e+18 5.6853162826e-05 0.0 
5963952.1028 -53284627.691 11202634.526 8.7862921783 -1227.1175488 184.75218242 8.328363e+18 5.6814742236e-05 0.0 
14438485.950272514 -92646631.2162543 -4525784.3571836855 266.7045099856972 -2328.9193248170145 -102.84650951551788 1.1154596e+19 7.6094845588e-05 0.25336937348515354 
12104281.868 -87653269.349 278229.13666 208.07063531 -2186.1738368 18.370822358 8.328363e+18 5.6814742236e-05 0.0 
21952395.265 -102950998.18 26561781.352 483.21707615 -2629.9235061 660.47989001 8.322722e+18 5.6776260248e-05 0.0 
20098235.678 -61348528.014 -47578292.849 422.28120754 -1534.4382838 -1145.5183302 8.322722e+18 5.6776260248e-05 0.0 
4391572.6991 -38363910.649 12790470.302 -43.280587113 -794.35896999 166.32914834 8.317073e+18 5.6737723686e-05 0.0 
35508476.452 -107186284.23 -19360789.335 829.72894695 -2749.1340099 -482.21085945 8.317073e+18 5.6737723686e-05 0.0 
12988015.327 -27550336.611 34482557.8 195.16547142 -611.50793713 686.44776604 8.314244e+18 5.6718424706e-05 0.0 
30588160.881 -98697362.424 -17863647.453 695.23347448 -2520.8361849 -432.40266445 8.314244e+18 5.6718424706e-05 0.0 
23909539.538 -69691668.669 42132830.775 518.49641519 -1754.5355324 1016.1994844 8.311414e+18 5.6699118905e-05 0.0 
38817333.464 -110499411.85 -10155028.743 916.13633907 -2836.8885255 -258.78746351 8.311414e+18 5.6699118905e-05 0.0 
15260252.399 -95720654.324 -35666274.64 312.15853357 -2437.1163985 -883.92138481 8.311414e+18 5.6699118905e-05 0.0 
5220621.9359 -93626814.024 -6218530.0962 49.419434185 -2347.5621882 -144.6853633 2.910726e+18 1.98565009e-05 1.0 
-24866754.069 -54073725.108 -31924215.277 -685.82885253 -1285.8154587 -718.43311767 2.910726e+18 1.98565009e-05 1.0 
-19110078.547 -43699625.095 -44790807.843 -544.09112497 -1042.1541641 -1024.6018912 2.906997e+18 1.9831062267e-05 1.0 
12154990.184 -86747152.246 44711410.427 240.41946847 -2210.6357221 1108.4745698 2.905142e+18 1.9818407758e-05 1.0 
-18803013.695 -66835036.109 236986.19338 -536.79469526 -1532.6511256 -48.745376812 2.905142e+18 1.9818407758e-05 1.0 
