x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
-1890175.5810856014 7339485.515976344 -49088.335390218315 -35.17480419618038 188.15734102859963 2.0869218724503424 1.1548284191599985e+25 0.9673065950257765 0.17120751542235985 
30110528.78795089 -163845322.59699953 -10574632.68699788 -168.85727894474073 -2969.8106195858354 261.6662341341627 3.0218077e+21 0.00025311245104499996 0.09115745518816436 
53624639.983 -174262115.52 2177959.9387 677.88502078 -3236.1250775 -238.18043358 7.872827e+20 6.5944319972e-05 0.0 
78924241.017 -164800721.07 187601269.5 1758.345369 -3949.0853117 4184.7688083 7.829542e+20 6.5581756449e-05 0.0 
85426127.187 -232781234.78 -224913813.27 2002.8073209 -5818.6017337 -5372.8642285 7.652864e+20 6.4101867387e-05 0.0 
-25900790.803 -28244940.448 -1136871.5545 556.78224789 6264.1216216 -73.838240531 7.539136e+20 6.3149259687e-05 0.0 
16349318.87279681 -50468685.23362431 200562346.0464205 240.3271442157718 -1098.526354846474 4137.475069384156 1.0750508999999999e+21 9.0048340369e-05 0.3008398020968124 
58956832.888 -185024765.33 -3605278.7562 853.08800081 -3585.7674944 -178.19963126 7.375945e+20 6.1782340343e-05 0.0 
55669159.282 -131834721.97 -119418601.41 957.79450164 -2782.0237129 -2135.0148632 7.328225e+20 6.1382628404e-05 0.0 
61824738.782 -137742318.71 -97482260.85 997.52408631 -2862.14572 -1576.2243108 7.255721e+20 6.0775320892e-05 0.0 
55164899.536 -146546481.32 -105608191.74 1013.2784172 -3168.2946777 -1775.5663105 7.084234e+20 5.9338912649e-05 0.0 
47418724.752 -172451607.96 -32694693.781 414.01647934 -3484.0570597 -115.01922357 6.992385e+20 5.856956768e-05 0.0 
63050392.578 -178917449.4 -12519498.558 933.76885107 -3538.4448921 197.60384595 6.945729e+20 5.817876801e-05 0.0 
50792845.361 -151848913.26 51505865.876 551.21089037 -3020.4952311 394.15349688 6.898562e+20 5.7783688105e-05 0.0 
47601453.69034439 -157957985.8055992 -46764124.66482329 410.47702114857884 -3146.2074467259094 -357.9199102813748 1.3552804999999998e+21 0.000113520913064 0.0 
52524729.404 -155558975.08 42753866.49 585.98192786 -3030.7787164 246.42160256 6.874779e+20 5.7584477102e-05 0.0 
