x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
188.08894870288972 -8586.459939144734 6838.081932334031 -0.08217610341340893 -0.37110862903867087 0.31257860155204126 1.8796779442400005e+21 0.9989662212880236 0.19959614420629126 
-6915809.4556 493772.43078 -8455701.1765 -188.31388162 13.627441841 -232.24983185 8.84239e+16 4.6993416892e-05 1.0 
9119229.7467 1120321.775 -9904991.3763 267.51717138 35.369262453 -293.26912962 4.422209e+16 2.350209741e-05 1.0 
-8845118.8212 2560004.1061 -4742075.0282 -234.62609939 74.45841021 -127.94701599 4.421868e+16 2.3500285145e-05 1.0 
4854663.3707 650125.89113 -7994091.7361 122.48623543 18.834200976 -201.28961849 4.421868e+16 2.3500285145e-05 1.0 
-5922579.4611 584083.36807 -6474366.0713 -144.46154271 16.13085086 -155.05276917 4.421868e+16 2.3500285145e-05 1.0 
-13429640.566 -875429.28826 8084957.4102 -409.94201977 -28.16592219 246.77656161 4.421597e+16 2.3498844899e-05 1.0 
12853967.348 -1578600.5025 9073292.7343 392.44268405 -50.513189191 278.43524625 4.421529e+16 2.3498483509e-05 1.0 
3543342.297 539362.59575 8621416.2088 90.549989101 15.050841577 216.38223237 4.421462e+16 2.3498127433e-05 1.0 
-10511962.998 2656986.3246 -5350568.8076 -299.27495408 80.664084078 -152.29187738 4.421462e+16 2.3498127433e-05 1.0 
620990.61627 2269767.4531 -12796627.672 14.774116808 69.825617348 -373.44260892 4.421328e+16 2.3497415282e-05 1.0 
-10773423.191 1023591.6683 4019859.9544 -301.45577424 30.765365963 114.24241824 4.421194e+16 2.3496703131e-05 1.0 
4519762.3263 -1850417.9204 6715776.3754 103.89808616 -49.02466209 152.89379274 4.421194e+16 2.3496703131e-05 1.0 
-11238410.96 1194005.873 4088068.1947 -318.75425824 35.838929045 115.29235045 4.421061e+16 2.3495996295e-05 1.0 
11017019.625 1316933.7514 -5381517.0195 315.28161629 40.526590185 -155.3693059 4.421061e+16 2.3495996295e-05 1.0 
8638164.6003 -1387307.1804 26345.684165 207.40044387 -36.56612043 -3.6070380178 4.420995e+16 2.3495645534e-05 1.0 
-8240441.0194 1582470.5572 2753827.6972 -197.62228942 42.778874097 68.679652038 4.420995e+16 2.3495645534e-05 1.0 
3762914.1205 177343.4925 10805336.811 103.90302754 5.9039268594 302.19624719 4.420929e+16 2.3495294773e-05 1.0 
15453335.237 -2747987.2949 5647569.6162 476.6770806 -87.432866114 174.60713238 4.420797e+16 2.3494593251e-05 1.0 
4973240.8785 -841198.83492 -12057729.548 144.09563031 -26.142373574 -352.53574301 4.420797e+16 2.3494593251e-05 1.0 
-11347393.839 3926681.8374 -7049059.1494 -335.18482076 121.78855277 -210.20267948 4.420731e+16 2.349424249e-05 1.0 
-8930221.6781 712036.21717 3173349.1826 -226.46312919 21.616775306 80.656106993 4.420665e+16 2.3493891729e-05 1.0 
-4220530.7806 180627.03608 -7738640.2666 -103.41449198 5.0782547983 -186.18978282 4.420665e+16 2.3493891729e-05 1.0 
-1071114.2673 199151.32551 -12416062.652 -29.855140821 6.0237846317 -357.58626787 4.420665e+16 2.3493891729e-05 1.0 
8744850.4242 -1406137.8955 -1662365.8288 214.30119196 -38.674697933 -39.568257939 4.420665e+16 2.3493891729e-05 1.0 
