x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
91466938.15384299 331580180.2866969 -11515.37193833421 2495.227482397966 8312.786250867386 1.4784043635331952 5.9643654458e+24 0.4993849121283159 0.0940114045488478 
-91490086.5338275 -333441182.04888713 -20919.08017731195 -2492.69506538079 -8361.773153186603 -0.2722399821892525 5.935059342200001e+24 0.4969311681165039 0.19764696869013693 
-35967833.087 -110355236.82 2530749.7306 -932.8739388 -3218.9547986 39.069277473 6.17421e+20 5.1695479533e-05 0.0 
-27847596.915 -113912184.67 -12405104.523 -799.23564471 -3322.6778819 -323.93538014 2.527131e+20 2.1159184558e-05 1.0 
-67988783.205 109384143.17 13200403.672 -1470.1519079 3033.794617 252.34319908 2.52303e+20 2.1124847669e-05 1.0 
-74253214.801 -190401933.88 10151200.977 -1790.5689495 -5743.5630522 14.924180867 2.478689e+20 2.0753588956e-05 1.0 
-27288978.294 -202050163.62 -20841366.482 -1023.241361 -6012.5151416 -326.0588978 2.478689e+20 2.0753588956e-05 1.0 
29928571.284 162343296.13 -11220956.518 909.31937939 4799.5160922 -144.73788515 2.476235e+20 2.0733042083e-05 1.0 
-1511747.4586 85869002.103 -12942010.122 63.289767645 2482.9142268 -484.05417582 2.466889e+20 2.0654789813e-05 1.0 
-4731646.1545 137109353.1 23816654.001 81.919195404 3947.8329312 508.85068131 2.466889e+20 2.0654789813e-05 1.0 
-21455265.42 -154158449.42 -2842167.1194 -656.4612486 -4502.8839362 81.729336524 2.457547e+20 2.0576571033e-05 1.0 
-6214810.4769 120220408.31 12319194.856 -10.643920886 3461.6242919 320.2445889 2.45451e+20 2.0551142813e-05 1.0 
-52359302.868 144066637.68 5149772.9278 -1028.1079195 4025.6121991 -81.663122423 2.438874e+20 2.0420225575e-05 1.0 
-21257222.514 43435113.441 20698869.22 -465.74492976 1231.307884 419.61982248 2.438874e+20 2.0420225575e-05 1.0 
-50503487.66 -116790384.06 42929861.994 -1261.3295904 -3378.7756401 813.28619824 2.430352e+20 2.0348872499e-05 1.0 
-43101723.875 48398546.54 90629284.278 -989.56069404 1311.4990184 1950.1967476 2.420211e+20 2.0263963846e-05 1.0 
8487820.9087 33430357.151 15992843.354 218.08763384 961.77360822 261.50328027 2.420211e+20 2.0263963846e-05 1.0 
-15279268.789 170894732.36 -5611930.4835 -27.275938845 4914.0878767 17.201580589 2.401557e+20 2.0107777471e-05 1.0 
-36118481.249 -177941545.74 -54380687.465 -1084.0735672 -5170.3249917 -952.34659365 2.398163e+20 2.0079360158e-05 1.0 
-63975083.248 128640344.54 -13110870.498 -1335.1119851 3568.659567 -115.16055009 2.392232e+20 2.002970103e-05 1.0 
-25306394.168 -133634152.99 -15398321.492 -798.73151748 -3903.1180502 -335.35965469 2.382075e+20 1.9944658411e-05 1.0 
-38462538.719 -154898184.56 36138607.449 -1089.5717091 -4542.1218253 687.05137611 2.382075e+20 1.9944658411e-05 1.0 
26683583.926 -135386636.21 -6232138.9042 400.57690869 -3851.0208445 -239.10257607 2.365988e+20 1.9809965037e-05 1.0 
1703711.3936 -130192168.41 -22325590.899 -172.90898237 -3736.9943306 -355.86103966 2.365988e+20 1.9809965037e-05 1.0 
-47296081.603 -2121605.1219 -43509005.185 -1107.5392167 -84.017315444 -869.3442781 2.364264e+20 1.9795530314e-05 1.0 
-9199916.006 -186562564.98 12210117.327 -598.29714258 -5466.2962913 319.55025564 2.357944e+20 1.9742614163e-05 1.0 
-24466596.638 -86125994.937 -4361053.6691 -693.72658469 -2500.4827366 -151.14978226 2.33381e+20 1.9540544797e-05 1.0 
18742910.772 73275941.33 11666931.58 461.49566736 2115.6121245 155.60588731 2.317717e+20 1.9405801185e-05 1.0 
8354477.4759 124099630.26 -3958730.4592 267.1450879 3594.4004036 -82.831640138 2.309667e+20 1.9338400075e-05 1.0 
638010.59067 203988815.22 -11862242.789 407.90304776 5958.6537942 -53.54853506 2.308318e+20 1.9327105156e-05 1.0 
8578868.2007 220233508.75 24130729.436 707.92297902 6396.1342392 50.440133007 2.289657e+20 1.9170860172e-05 1.0 
-36876189.298 -185777455.04 6317270.9052 -1044.090239 -5538.1967079 352.59217865 2.289657e+20 1.9170860172e-05 1.0 
-37438695.743 -79632244.289 -50259649.329 -930.16258804 -2277.9612605 -968.41224463 2.280322e+20 1.9092700002e-05 1.0 
11443397.501 -123076493.9 141681819.2 199.56467687 -3356.282805 3178.6920187 2.270984e+20 1.9014514714e-05 1.0 
-8922909.1892 221826207.85 -7626408.4079 337.56355276 6444.7688517 -258.03060915 2.270984e+20 1.9014514714e-05 1.0 
-38003340.216 -73763912.238 65424217.868 -972.66302885 -2117.1105476 1361.7353492 2.270984e+20 1.9014514714e-05 1.0 
-86609194.955 52524048.455 15055485.258 -1969.1950921 1441.0041839 299.1997655 2.270984e+20 1.9014514714e-05 1.0 
-35173561.113 -49680730.005 -20338814.332 -842.48139358 -1442.1391149 -460.57277114 2.270984e+20 1.9014514714e-05 1.0 
-11154815.196 169243480.75 -51455289.429 0.089076862435 4792.1425413 -893.42087986 2.270984e+20 1.9014514714e-05 1.0 
159464589.43 145829056.71 -122687261.45 3800.9863242 3944.235835 -2634.2217579 2.270984e+20 1.9014514714e-05 1.0 
-14523460.802 -132966625.83 -4539554.7981 -534.47641239 -3854.3042635 57.196470033 2.253259e+20 1.8866106679e-05 1.0 
-94174980.801 -142771540.73 -5606549.634 -2215.0863713 -4205.9867277 -35.009159619 2.253259e+20 1.8866106679e-05 1.0 
-14900445.454 5138390.6774 -3253018.9783 -371.82256699 134.87565564 -257.9385006 2.245189e+20 1.8798538112e-05 1.0 
2128064.8423 118464212.86 -64496324.464 146.90486982 3350.8267145 -1292.1169072 2.245189e+20 1.8798538112e-05 1.0 
62788417.817 157646860.95 10526787.249 1552.9493397 4691.3468583 59.421660992 2.237114e+20 1.8730927681e-05 1.0 
-2574668.6101 87855483.942 -13558710.624 -4.1230332699 2497.1498455 -256.79222011 2.237114e+20 1.8730927681e-05 1.0 
35862358.381 165626071.52 -37905098.527 966.0156952 4834.3172336 -576.621655 2.229036e+20 1.8663292132e-05 1.0 
-20800351.621 70745148.892 -45282389.062 -424.35315009 1994.5381564 -931.43390029 2.229036e+20 1.8663292132e-05 1.0 
31087374.986 43856690.031 -39309808.934 710.88832621 1260.6034617 -805.15616256 2.220953e+20 1.8595614719e-05 1.0 
