x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
-18575.62425731731 34616.16057319097 279.7724996893237 -0.2557701288165683 1.186025077709781 -0.07226643695950478 1.8682197905100002e+21 0.998298751948283 0.18511281899620952 
1380324.5065 -1784070.7237 11427481.192 12.561335747 -51.566751075 240.31436974 4.363523e+16 2.3316847338e-05 1.0 
-482363.67685 -10075575.843 3002580.9037 -42.303906187 -211.26214127 46.397884486 4.363319e+16 2.3315757247e-05 1.0 
3069960.7409 -4604454.356 11594214.988 52.254305737 -116.03218452 254.481301 4.363116e+16 2.33146725e-05 1.0 
2280937.1167 -11485261.801 -6945952.6395 30.459290328 -273.61572814 -149.79107409 4.363116e+16 2.33146725e-05 1.0 
-1500396.4429 -10404486.73 -2525963.5542 -63.987294074 -217.79271803 -37.161544842 4.362913e+16 2.3313587753e-05 1.0 
-282245.1936 -15422636.861 -2087416.3731 -33.043577206 -369.39261939 -43.288623486 4.362779e+16 2.3312871712e-05 1.0 
741408.2722 -5458061.9908 -9846560.3192 -6.4755001611 -127.52829287 -201.18979999 4.362779e+16 2.3312871712e-05 1.0 
5354974.5439 -5586664.3163 20665225.166 121.36801071 -150.52614201 516.95825854 4.362712e+16 2.3312513692e-05 1.0 
5997842.6441 -19135130.104 3493108.9065 129.7920651 -483.59920885 85.293207564 4.362712e+16 2.3312513692e-05 1.0 
-2198937.7072 -9755903.3754 270809.99616 -82.895109708 -189.31449676 -11.435233888 4.362578e+16 2.3311797652e-05 1.0 
2284707.1595 -16374023.798 4445555.628 32.234288742 -403.46913565 102.07309655 4.362312e+16 2.3310376259e-05 1.0 
-1301453.4477 -13526892.076 -638457.21618 -60.703875735 -309.18059865 -10.153277053 4.362179e+16 2.3309665563e-05 1.0 
-209121.27495 -13965168.358 -1940757.1106 -33.183748046 -326.34218029 -36.647649667 4.362179e+16 2.3309665563e-05 1.0 
533452.27685 -6257560.996 -10731923.474 -8.7682567991 -152.14027491 -229.7689976 4.362179e+16 2.3309665563e-05 1.0 
-2077061.6899 -9190403.1992 1545159.4062 -78.288856301 -174.5342442 10.317748715 4.362113e+16 2.3309312886e-05 1.0 
-371412.58478185313 -5293695.803103148 -8562991.761343691 -31.261533100688794 -118.10791759923316 -159.69913980823918 8.72332e+16 4.6613784486e-05 1.0 
10800881.101 -23043854.056 -1351277.1219 258.35400305 -595.14700498 -34.82243557 4.362047e+16 2.330896021e-05 1.0 
1577471.4232 -6585991.4418 -11786511.477 17.239286325 -162.70786922 -262.26142711 4.362047e+16 2.330896021e-05 1.0 
-2609641.6178 3455483.7305 11818845.964 -73.549133648 61.955756991 258.13284362 4.36198e+16 2.330860219e-05 1.0 
