x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
-7919.486896440548 -12289.876996916646 -385.56784928199045 -0.24611298516141583 -0.4248369442736915 0.13210200196033453 1.8700314362699988e+21 0.9945257484397271 0.1933689000424422 
-11755408.648 -2714596.8467 11133485.946 -264.00953082 -80.150680797 249.3606558 8.837221e+16 4.6998374779e-05 1.0 
17774256.797 -4031006.6633 -2048007.1653 409.62271885 -112.03589089 -45.801653215 8.835832e+16 4.6990987758e-05 1.0 
-674015.19944 -4240791.9428 -16472339.054 -13.908958993 -116.06245927 -371.79575103 8.834071e+16 4.6981622355e-05 1.0 
8243818.3543 -2633569.4409 8318215.8474 162.22239626 -76.050332775 165.64352481 4.421711e+16 2.3515676562e-05 1.0 
-15949032.773 -2077180.0238 8872764.6313 -368.46897178 -65.401603591 203.39137143 4.42057e+16 2.3509608462e-05 1.0 
-5573495.824 -2844469.7922 -7925181.8095 -95.816843419 -77.2466026 -137.91929008 4.420499e+16 2.3509230867e-05 1.0 
-501729.12371 -1577126.1619 -15912205.225 -12.958223133 -54.082742194 -355.47326178 4.420499e+16 2.3509230867e-05 1.0 
-7064576.462261628 -2675685.7088471493 9761129.258488946 -142.97246835169642 -76.64253374991712 194.67753856857502 8.8372e+16 4.6998263095999996e-05 1.0 
30084317.771 951102.46668 11505.119044 737.84908983 9.9140048152 0.69277273337 4.420358e+16 2.3508480997e-05 1.0 
-1564663.3189 -992392.05123 20271863.155 -35.651406482 -39.978923973 477.82131261 4.420288e+16 2.3508108721e-05 1.0 
-9339975.566 -4079442.7829 9759867.4567 -198.00287487 -109.57738075 207.94274824 4.420288e+16 2.3508108721e-05 1.0 
-26298430.232 7032123.7825 23253957.015 -651.14366548 162.3282535 575.83897351 4.420148e+16 2.3507364168e-05 1.0 
-27820743.708 1574612.6276 6052272.0727 -679.57456519 25.1595978 147.86250582 4.420009e+16 2.3506624934e-05 1.0 
16764271.537 -3807769.2109 -16259429.763 401.01310751 -107.70672962 -390.40682504 4.420009e+16 2.3506624934e-05 1.0 
-17953482.115 -1697148.026 -4765685.2651 -415.65934968 -56.370357369 -110.53642206 4.419869e+16 2.3505880382e-05 1.0 
18746605.022 2130476.9348 -18160064.011 455.08753084 38.048376721 -440.193744 4.419869e+16 2.3505880382e-05 1.0 
10470788.338 -4595046.3019 -5090480.4016 208.33004382 -117.94844213 -103.143109 4.4198e+16 2.3505513424e-05 1.0 
-31490127.224 4164085.1659 2438736.5982 -774.5869028 90.260235178 60.108784921 4.4198e+16 2.3505513424e-05 1.0 
-29680224.68 2381440.8489 -9201007.8806 -729.00872475 45.591867649 -226.48984274 4.419731e+16 2.3505146467e-05 1.0 
-24181564.241 -1695670.8212 -5324356.6888 -583.37632184 -55.550009298 -128.94190529 4.419731e+16 2.3505146467e-05 1.0 
