x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
-23732.151829288163 237047.08527697698 -299821.3952167948 2.408964469861565 9.571936053599877 -10.698261300453417 1.2542468459200005e+24 0.9801237556022963 0.08603789045348839 
2682378.1094 -59024403.663 56184071.106 -4.3789191114 -1145.6747748 950.10043027 7.28398e+19 5.6920229511e-05 0.0 
33666872.112 -46090174.583 61817646.68 642.39930624 -946.28538589 1053.9030192 7.181625e+19 5.6120382437e-05 0.0 
19734594.815 -31049146.577 82415302.148 384.59909404 -650.84776259 1595.9390395 7.164263e+19 5.5984708118e-05 0.0 
-21331606.205 35993458.036 101844007.23 -481.96811839 839.32544148 2200.0565846 7.129267e+19 5.5711233953e-05 0.0 
-22068292.225 35662570.258 96744393.372 -473.01774591 809.66664089 2063.14756 7.129267e+19 5.5711233953e-05 0.0 
8554789.5973 -8484227.4337 111584567.0 177.66073803 -191.06503561 2464.9207337 7.111629e+19 5.5573402848e-05 0.0 
6010028.0206 4330039.5364 101637516.92 128.4727649 101.89282132 2138.0919901 7.076064e+19 5.5295482266e-05 0.0 
37194465.469 -56809503.539 -68071161.32 766.10907707 -1220.9947074 -1326.8545938 7.076064e+19 5.5295482266e-05 0.0 
-12209468.007 12709643.802 -81812323.175 -242.51711557 255.41206221 -1493.332721 7.021965e+19 5.4872728841e-05 0.0 
-5028670.832787509 3090906.7705096495 122946204.62430161 -127.22978381990971 93.84317063198253 2810.2192934935465 1.393338e+20 0.000108881571266 0.0 
35570750.270238295 -16914048.407423317 96346620.19356577 783.8365430229875 -385.3495311455047 2038.4474332121972 9.480895e+19 7.4087891424e-05 0.26128039599636954 
40943570.603 -46527751.602 -116029876.58 976.97037754 -1137.0692893 -2678.1996028 6.985374e+19 5.4586790642e-05 0.0 
-36223554.96 42079359.131 100564403.71 -816.23557737 974.48057989 2218.8069874 6.976158e+19 5.4514772757e-05 0.0 
40759953.073 -55096435.543 -94022535.551 909.98091808 -1287.9546148 -2063.8927195 6.929657e+19 5.4151393452e-05 0.0 
-1328271.9465 2492454.4631 84806824.72 -22.253399639 63.852107566 1574.7983235 6.910853e+19 5.400445071e-05 0.0 
-349742.21547 -872020.67204 -82493507.481 -35.052208185 19.139211858 -1477.4625092 6.882422e+19 5.3782278347e-05 0.0 
-3591211.55 -9693608.8217 114444876.47 -107.72902197 -210.11879012 2546.9283242 6.882422e+19 5.3782278347e-05 0.0 
29944675.647 -36509665.588 68837517.276 581.90644597 -729.35057464 1217.1484924 6.863313e+19 5.36329522e-05 0.0 
-56093533.582 35219839.77 89610746.311 -1280.0075748 830.71506162 1921.8073998 2.477172e+19 1.935771361e-05 1.0 
50706281.203 -53198271.162 161090386.9 1272.9948038 -1343.8039376 3989.3206548 2.477172e+19 1.935771361e-05 1.0 
37662488.114 -95465205.903 74298072.029 832.70501546 -2239.3711806 1672.3211396 2.477172e+19 1.935771361e-05 1.0 
-64895065.648 59703839.896 113234965.78 -1580.122733 1481.7061691 2661.4685419 2.477172e+19 1.935771361e-05 1.0 
3977243.6339 24309051.669 156917795.06 107.46274406 615.99866749 3818.6537234 2.477172e+19 1.935771361e-05 1.0 
43866693.167 -82858122.454 97177177.62 1021.1178394 -1989.5775283 2244.4504259 2.477172e+19 1.935771361e-05 1.0 
49942593.959 -90338940.347 94069440.007 1170.4217363 -2181.31536 2192.2298116 2.477172e+19 1.935771361e-05 1.0 
-75130228.304 81731774.009 104852302.12 -1783.3027313 1992.0244788 2525.5233868 2.477172e+19 1.935771361e-05 1.0 
29169227.912 -152297381.31 -25410228.05 639.1384236 -3744.995308 -590.11184123 2.477172e+19 1.935771361e-05 1.0 
-111607650.95 102286241.87 76006428.979 -2728.2704477 2533.9335385 1853.3164954 2.477172e+19 1.935771361e-05 1.0 
20732916.399 -92156620.224 -50357827.378 379.77489809 -2014.5039504 -1061.1578132 2.477172e+19 1.935771361e-05 1.0 
-120251153.84 135043519.2 -30714871.276 -2964.1379217 3383.9826115 -751.60701549 2.477172e+19 1.935771361e-05 1.0 
32055320.069 -55539207.987 -126193646.31 765.57816288 -1346.5808334 -2988.2788106 2.477172e+19 1.935771361e-05 1.0 
6015722.1743 -70069123.124 -86990148.775 99.768583982 -1610.7663995 -1867.5674647 2.477172e+19 1.935771361e-05 1.0 
-120623689.26 125231228.3 -38411100.167 -2955.1292415 3128.6991663 -930.7472754 2.477172e+19 1.935771361e-05 1.0 
12873791.871 -21282746.026 -115152812.69 305.8555279 -506.39661175 -2576.672518 2.477172e+19 1.935771361e-05 1.0 
