x1	x2	x3	v1	v2	v3	mass	rel_mass	water_fraction
247167.72710451635 390078.235687873 -1322.4145718102666 9.191465364446216 12.959979437038154 -0.9114808521687694 1.2725271806500012e+24 0.9943710096308545 0.10693568657875133 
28579878.31361195 -24407745.392930973 212742.93060509028 799.2936111797387 -2328.3594236528666 19.695784547373904 9.6580483e+20 0.0007546937610039999 0.1635427625679219 
24927372.584 -24420990.238 82532.521739 495.77326921 -2166.7355164 19.615243585 8.6949194e+20 0.00067943348591 0.052416414579 
31642255.226 -23397638.735 497130.61889 1081.9573355 -2402.9794762 36.389947061 2.459982e+20 0.00019222652547 0.18388256499 
33750897.248926945 -22070819.32887215 270023.55958893755 1290.937128430106 -2363.074796206911 38.34433314719593 1.5853811e+20 0.00012388395541 0.5746930501462756 
34521311.925 -15653767.425 1165506.6557 1410.7329483 -1970.5948926 54.604385305 6.607931e+19 5.1635321588e-05 0.0 
-40808342.379 -67806357.758 -1561616.8518 -1263.6036077 -1413.8927412 -99.536950983 4.434573e+19 3.4652390129e-05 1.0 
-51829854.817 -65698653.312 -31317081.391 -1532.0307989 -1556.7723732 -674.28380601 2.524685e+19 1.9728251079e-05 1.0 
-63913053.937 -74263872.926 -2805481.2031 -1894.5990936 -1793.7575562 -84.672388308 2.501012e+19 1.9543266858e-05 1.0 
-49489704.859 -70113932.61 -1694455.0165 -1454.7579234 -1566.2349926 -7.7274817717 2.49217e+19 1.9474174201e-05 1.0 
-70804472.497 -89943487.497 -3590143.3412 -2167.6922396 -2361.8325535 -136.90092281 2.483347e+19 1.9405230012e-05 1.0 
-43778284.58 -93941494.179 27999768.238 -1400.1969837 -2470.9452063 699.16785489 2.471611e+19 1.9313523223e-05 1.0 
32553476.51 -21733127.918 2547656.9349 1127.4740514 -2230.8018409 197.86831453 2.465754e+19 1.9267755784e-05 1.0 
-51895075.139 -94702907.7 3487086.8732 -1622.7131972 -2462.4096045 78.695012648 2.465754e+19 1.9267755784e-05 1.0 
-54645285.935 -60411146.335 -8205117.1348 -1542.9926989 -1259.8481402 -153.69838717 2.465754e+19 1.9267755784e-05 1.0 
-48040717.444 -94272581.391 30446212.852 -1519.6887689 -2507.9819136 747.42660502 2.462828e+19 1.92448916e-05 1.0 
-52388506.067 -95535611.503 21224039.161 -1647.296619 -2526.8579127 519.20117247 2.462828e+19 1.92448916e-05 1.0 
-50184331.384 -87627534.313 -6646511.3422 -1552.847659 -2208.9858869 -125.86735721 2.439486e+19 1.9062493861e-05 1.0 
-49814536.52 -75342505.383 4090680.1739 -1488.6303734 -1773.7195278 14.336834941 2.436576e+19 1.9039754703e-05 1.0 
-55292785.786 -93501079.173 -2894476.3533 -1708.3678812 -2434.2045564 -79.841238688 2.43076e+19 1.8994307644e-05 1.0 
-38015231.906 -72569615.659 -16509467.654 -1154.4153651 -1636.725164 -352.91686863 2.43076e+19 1.8994307644e-05 1.0 
-63676402.555 -69171856.949 -17633155.397 -1881.1482377 -1659.7558256 -357.07714094 2.424951e+19 1.8948915284e-05 1.0 
-39688664.688 -60157938.15 -14066344.765 -1135.5458897 -1186.5396427 -204.13047921 2.424951e+19 1.8948915284e-05 1.0 
